date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:13	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2008%20Aug%202019%2007:27:13%20GMT	http://goblinslayer.jp/robots.txt		(from )
00:27:14	12510/12510	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:14%20GMT	http://goblinslayer.jp/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/index.html	(from )
00:27:14	4838/4838	---M--	200	added ('OK')	text/css	etag:%2212e6-57580bc67e4fd%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/reboot.css	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/css/reboot.css	(from http://goblinslayer.jp/)
00:27:15	30114/30114	---M--	200	added ('OK')	text/css	etag:%2275a2-584ba5fa2d8c9%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css	(from http://goblinslayer.jp/)
00:27:15	14841/14841	---M--	200	added ('OK')	text/css	etag:%2239f9-584bb281ca636%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/sp.css	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/css/sp.css	(from http://goblinslayer.jp/)
00:27:16	3836/3836	---M--	200	added ('OK')	text/css	etag:%22efc-577869d0eac6f%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/jquery.bxslider.css	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/css/jquery.bxslider.css	(from http://goblinslayer.jp/)
00:27:16	15659/15659	---M--	200	added ('OK')	text/css	etag:%223d2b-5791a4a5c584c%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/modaal.css	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/css/modaal.css	(from http://goblinslayer.jp/)
00:27:17	824/824	---M--	200	added ('OK')	text/xml	date:Thu,%2008%20Aug%202019%2007:27:16%20GMT	http://goblinslayer.jp/xmlrpc.php?rsd	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/xmlrpc0db0.php	(from http://goblinslayer.jp/)
00:27:17	1045/1045	---M--	200	added ('OK')	text/xml	etag:%22415-4ed4785da9bc0%22	http://goblinslayer.jp/wp-includes/wlwmanifest.xml	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-includes/wlwmanifest.xml	(from http://goblinslayer.jp/)
00:27:19	10426/10426	---M--	200	added ('OK')	image/png	etag:%2228ba-575511885e455%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_news_off.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_news_off.png	(from http://goblinslayer.jp/)
